file_name,sample_rate,num_frames,num_channel,bit_depth,encoding
artifact__201106121242.wav,44100,396900,1,16,PCM_S
artifact__201106111119.wav,44100,396900,1,16,PCM_S
artifact__201106110909.wav,44100,396900,1,16,PCM_S
artifact__201106101955.wav,44100,396900,1,16,PCM_S
artifact__201106101314.wav,44100,396900,1,16,PCM_S
artifact__201106070949.wav,44100,396900,1,16,PCM_S
artifact__201106070537.wav,44100,396900,1,16,PCM_S
artifact__201106061233.wav,44100,396900,1,16,PCM_S
artifact__201106050353.wav,44100,396900,1,16,PCM_S
artifact__201106041452.wav,44100,396900,1,16,PCM_S
artifact__201106040947.wav,44100,396900,1,16,PCM_S
artifact__201106040933.wav,44100,396900,1,16,PCM_S
artifact__201106040722.wav,44100,396900,1,16,PCM_S
artifact__201106031558.wav,44100,396900,1,16,PCM_S
artifact__201106030612.wav,44100,396900,1,16,PCM_S
artifact__201106021541.wav,44100,396900,1,16,PCM_S
artifact__201106010602.wav,44100,396900,1,16,PCM_S
artifact__201106010559.wav,44100,396900,1,16,PCM_S
artifact__201105280851.wav,44100,396900,1,16,PCM_S
artifact__201105190800.wav,44100,396900,1,16,PCM_S
artifact__201105061143.wav,44100,396900,1,16,PCM_S
artifact__201105060108.wav,44100,396900,1,16,PCM_S
artifact__201105051017.wav,44100,396900,1,16,PCM_S
artifact__201105041959.wav,44100,396900,1,16,PCM_S
artifact__201105040918.wav,44100,396900,1,16,PCM_S
artifact__201012172012.wav,44100,396900,1,16,PCM_S
